"item_code","item","master_nr","serial_nr","manufacture_code","qty","soft_id","mac_first","mac_last","mac_count","imei","user","password","ssid2","ssid5"
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEMX6QWF6","HIHITFN4LPV","314","1","HOSZ-HORU","68:61:68:61:1C:20","68:61:68:61:1C:26","7","","admin","JVUWW4TPKR","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHE3Z4JYBN","HIHI4YIPCIB","314","1","HOU3-HOBR","68:61:68:61:18:DE","68:61:68:61:18:E4","7","","admin","UWWIDJOMQG","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEOT3SN3R","HIHIJXB6P62","314","1","HORX-HOWR","68:61:68:61:08:E0","68:61:68:61:08:E6","7","","admin","CICCMMF2HM","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEEWQARUF","HIHIGATQEJB","314","1","HOAC-HOB6","68:61:68:61:24:75","68:61:68:61:24:7B","7","","admin","2LBNYQGG33","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEOC6JIIJ","HIHIXXLLTSD","314","1","HOSG-HOMO","68:61:68:61:17:D9","68:61:68:61:17:DF","7","","admin","NOBQW46JAO","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEM57AZX7","HIHIUFYV4CB","314","1","HOKK-HOGQ","68:61:68:61:E8:0B","68:61:68:61:E8:11","7","","admin","5UGSY3IEB3","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEHFQNCV3","HIHI2I4HHNQ","314","1","HODR-HOIN","68:61:68:61:FF:85","68:61:68:61:FF:8B","7","","admin","WC4ZAMZXXK","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHENFPIOT6","HIHIQR2OULO","314","1","HO5L-HOJJ","68:61:68:61:19:F9","68:61:68:61:19:FF","7","","admin","3TEMVSCCA2","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHETAOK7XK","HIHIKG2GRSP","314","1","HOZQ-HOON","68:61:68:61:37:71","68:61:68:61:37:77","7","","admin","LOEAYTTSOJ","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEMCY5PZ3","HIHIG6PAOLD","314","1","HOGA-HOX2","68:61:68:61:04:BF","68:61:68:61:04:C5","7","","admin","WEEB2G6IDD","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHECEKQN5O","HIHI6OG5CGT","314","1","HOCT-HOFC","68:61:68:61:37:9C","68:61:68:61:37:A2","7","","admin","EMV3GK3DPO","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEDEJ7S6R","HIHIJRJ2YTL","314","1","HOA5-HOUT","68:61:68:61:07:BC","68:61:68:61:07:C2","7","","admin","AQHE33VOOR","",""
